dataset,solver,guess,tolerance,P,tp,e,omega,K,gamma,jitter,n_solves,fit_seconds,native_fit_seconds
k2-24,newton,canonical,1e-14,20.885258,2072.741863579554,0.9082180855393645,0.8506188235199189,9.010009691371938,-1.5831396180653807,5.119348279103695,7232,0.07513408298837021,0.009997416054829955
k2-24,danby,canonical,1e-14,20.885258,2072.741863578232,0.9082180866038048,0.850618797405058,9.010009821238622,-1.5831396119363426,5.1193484155945805,8192,0.0745982090011239,0.009797708014957607
k2-24,markley,canonical,1e-14,20.885258,2072.7418635802196,0.9082180878048022,0.8506188083697637,9.010009882024065,-1.58313961325765,5.119348240752976,7808,0.06713987502735108,0.00940416700905189
k2-24,nwm9,canonical,1e-14,20.885258,2072.741863583947,0.9082180924191829,0.8506188050779602,9.01001021808199,-1.5831396123491688,5.1193482653997995,7456,0.31002541596535593,0.010909874981734902
k2-24,nwm11,canonical,1e-14,20.885258,2072.741863578976,0.9082180870866781,0.8506188011704724,9.01000984858559,-1.5831396112822187,5.119348198833537,6848,0.19633595802588388,0.009920958953443915
hd164922,newton,canonical,1e-14,1207.0,2455774.4555204767,0.12168313182938965,2.788311809430652,7.233919095584143,,2.7928577833736568,104260,0.6955066249938682,0.036287916998844594
hd164922,danby,canonical,1e-14,1207.0,2455774.455539274,0.12168312982439801,2.7883119176546725,7.23391901419084,,2.792857868992392,101453,0.7265776250278577,0.03671462502097711
hd164922,markley,canonical,1e-14,1207.0,2455774.4555206914,0.12168313244650314,2.788311798486578,7.233919006425924,,2.7928579803270654,102255,0.764610625046771,0.03620983299333602
hd164922,nwm9,canonical,1e-14,1207.0,2455774.4554995173,0.1216831253947739,2.7883116852108825,7.233919012308809,,2.7928579059324843,103057,1.0235285419621505,0.03783995797857642
hd164922,nwm11,canonical,1e-14,1207.0,2455774.455463842,0.1216831261126149,2.788311487427489,7.233918929285112,,2.792857806529238,110676,1.0213498750235885,0.03662183304550126
k2-131,newton,canonical,1e-14,0.3693038,2457582.7624082775,0.13495076298728584,-1.425890335870875,14.329782959452054,,15.037327251743983,22610,0.1723853750154376,0.023056708043441176
k2-131,danby,canonical,1e-14,0.3693038,2457582.762408374,0.1349508674376559,-1.4258890990877353,14.329780251580287,,15.037348318023325,23170,0.1857992919976823,0.023147291969507933
k2-131,markley,canonical,1e-14,0.3693038,2457582.7624083674,0.13495063613757965,-1.425889121152699,14.329781223895955,,15.037333023548264,22400,0.1858599580009468,0.0228245829930529
k2-131,nwm9,canonical,1e-14,0.3693038,2457582.762408122,0.13495101224006806,-1.4258924466441618,14.329763599997076,,15.037326487153027,22890,0.25302320800255984,0.022669625002890825
k2-131,nwm11,canonical,1e-14,0.3693038,2457582.762408493,0.13495037954451417,-1.425887401034662,14.329774226823949,,15.037305020430965,23380,0.2425175419775769,0.023249915975611657
