solver,guess,tolerance,P,tp,e,omega,K,gamma,jitter,n_solves,fit_seconds,native_fit_seconds
newton,canonical,0.0001,20.88525960578723,2455895.700758565,0.3420607877041001,0.9975061001888645,5.031667564878496,,0.1094389123459233,129122,0.7412474579759873,0.045064458972774446
newton,canonical,1e-06,20.885259620525588,2455895.7006966807,0.3420718857268936,0.9974834277643079,5.031702969530372,,0.10943373559253566,133132,0.8282283750013448,0.045625458005815744
newton,canonical,1e-08,20.885259614354343,2455895.7006971673,0.34207196555510705,0.997483615406715,5.031703057496664,,0.1094337524715233,120300,1.0225444580428302,0.06592370796715841
newton,canonical,1e-10,20.885259614215663,2455895.7006972865,0.34207198417304646,0.9974836966848235,5.0317030578954665,,0.10943375811119276,126716,0.9272789169917814,0.06728341698180884
newton,canonical,1e-12,20.885259614263784,2455895.700696618,0.34207188796831134,0.9974834378796367,5.031703036376783,,0.10943373807128064,135939,0.9648440839955583,0.044778124953154474
newton,canonical,1e-14,20.885259615757185,2455895.700696681,0.3420718710246271,0.9974834043164001,5.031702985989718,,0.10943372789691826,145964,1.0413858750252984,0.04449775000102818
danby,canonical,0.0001,20.88525961441603,2455895.700697025,0.34207194354044457,0.9974837437107437,5.03170305642542,,0.10943374767717183,142756,1.0068272919743322,0.055630667018704116
danby,canonical,1e-06,20.88525961558752,2455895.700697709,0.3420720724557137,0.997483787301893,5.0317031414367275,,0.10943377290482027,135137,0.780766166979447,0.043351166998036206
danby,canonical,1e-08,20.885259614152556,2455895.700696707,0.34207193920723317,0.9974834682937578,5.031703088858933,,0.10943374481711061,137142,0.9901405830169097,0.052220874989870936
danby,canonical,1e-10,20.88525961563709,2455895.700697126,0.3420719091042757,0.9974836866458807,5.0317029543316885,,0.10943373860006167,133132,1.3750904999906197,0.11008833401137963
danby,canonical,1e-12,20.885259614577812,2455895.700697249,0.34207198234176894,0.9974837734067822,5.031703020872493,,0.10943375689839607,139548,1.044094791985117,0.04673962504602969
danby,canonical,1e-14,20.885259615578878,2455895.700697347,0.3420719796879938,0.9974837240221129,5.031703033764168,,0.10943374328325765,131929,1.0618181669851765,0.04789004201302305
markley,canonical,0.0001,20.885259614590908,2455895.7006970276,0.34207194362078297,0.9974836156940895,5.031703050753555,,0.1094337464062174,130325,0.9647017089882866,0.04336358403088525
markley,canonical,1e-06,20.885259614590908,2455895.7006970276,0.34207194362078297,0.9974836156940895,5.031703050753555,,0.1094337464062174,130325,1.2832614170038141,0.047028457978740335
markley,canonical,1e-08,20.885259614590908,2455895.7006970276,0.34207194362078297,0.9974836156940895,5.031703050753555,,0.1094337464062174,130325,0.9928571669734083,0.04444724996574223
markley,canonical,1e-10,20.885259614590908,2455895.7006970276,0.34207194362078297,0.9974836156940895,5.031703050753555,,0.1094337464062174,130325,1.0012276669731364,0.0454306669998914
markley,canonical,1e-12,20.885259614590908,2455895.7006970276,0.34207194362078297,0.9974836156940895,5.031703050753555,,0.1094337464062174,130325,1.2089399580145255,0.059360334009397775
markley,canonical,1e-14,20.885259614590908,2455895.7006970276,0.34207194362078297,0.9974836156940895,5.031703050753555,,0.1094337464062174,130325,0.999550792039372,0.04413845797535032
nwm9,canonical,0.0001,20.885259615065035,2455895.7006971124,0.3420719162624057,0.9974836046449255,5.031702975422929,,0.10943374361794912,140751,1.3408194170333445,0.04464991600252688
nwm9,canonical,1e-06,20.885259616151746,2455895.700697313,0.3420719250793355,0.9974836963985376,5.031702950343241,,0.10943374303034753,131929,1.2989910000469536,0.04615266702603549
nwm9,canonical,1e-08,20.885259615150446,2455895.700696519,0.34207181478936516,0.9974833938308278,5.031702941523437,,0.1094337326075545,133132,1.3124633749830537,0.04604795796331018
nwm9,canonical,1e-10,20.885259615208927,2455895.700697173,0.3420719199431723,0.99748370720799,5.031702964296969,,0.10943373943375682,143558,1.352608916000463,0.04329620802309364
nwm9,canonical,1e-12,20.885259615953654,2455895.7006962416,0.342071760128559,0.9974833945390784,5.031702876722855,,0.10943370827049947,149573,1.4194089999655262,0.043395499989856035
nwm9,canonical,1e-14,20.88525961501343,2455895.7006969047,0.34207194017729137,0.9974835139584219,5.031703055318367,,0.1094337538376265,140751,1.5446868750150315,0.04911212500883266
nwm11,canonical,0.0001,20.885259614857134,2455895.7006969904,0.3420719210798264,0.9974836641865613,5.031702995140974,,0.109433741543903,131127,1.1739927500020713,0.043520167004317045
nwm11,canonical,1e-06,20.88525961447441,2455895.700697038,0.3420720039835359,0.997483624383635,5.031703120093985,,0.10943378866275442,139949,1.2798844579956494,0.04382087505655363
nwm11,canonical,1e-08,20.88525961608387,2455895.700696468,0.3420718659717437,0.9974833306064884,5.031703014518345,,0.10943372898309843,131127,1.20503541699145,0.04338691697921604
nwm11,canonical,1e-10,20.885259615641612,2455895.7006970737,0.34207191212359056,0.9974835724383291,5.0317029875052866,,0.10943377353085233,144761,1.345165749953594,0.04343654197873548
nwm11,canonical,1e-12,20.88525961490731,2455895.700696762,0.3420718622311892,0.9974834743309392,5.031702961416151,,0.10943373541311702,125112,1.1680817499873228,0.044838584028184414
nwm11,canonical,1e-14,20.885259614926497,2455895.7006972246,0.3420719893717493,0.9974836639542529,5.031703068734051,,0.10943378830425264,134335,1.2478683330118656,0.04491300001973286
