solver,tolerance,P_shift,P_shift_rel,e_shift,e_shift_rel,omega_shift,omega_shift_rel,K_shift,K_shift_rel,gamma_shift,gamma_shift_rel,jitter_shift,jitter_shift_rel,P_shift_sigma,e_shift_sigma,omega_shift_sigma,K_shift_sigma
newton,0.0001,-9.969955527822094e-09,-4.773680438379668e-10,-1.108332052701666e-05,-3.240056101022913e-05,2.2695872464395528e-05,2.275313290044115e-05,-3.542111122278868e-05,-7.039587058579427e-06,,,5.184449005046776e-06,4.7375238920219356e-05,-1.5492945765823628e-05,-0.0006326547302930021,0.00040610881898584444,-0.00034002880207533397
newton,1e-06,4.768402561694529e-09,2.283142584493869e-10,1.4702266515342899e-08,4.2980051155052225e-08,2.344790772657035e-08,2.3507065506157244e-08,-1.6459346774411188e-08,-3.271128447016968e-09,,,7.695617407210698e-09,7.032217173904219e-08,7.40992295018651e-06,8.392303041572152e-07,4.1956536940648325e-07,-1.5800328599078115e-07
newton,1e-08,-1.4028422867795598e-09,-6.71690135812899e-11,9.453047994378849e-08,2.763468380508343e-07,2.110903148944132e-07,2.1162288413116865e-07,7.150694525392964e-08,1.4211281042031632e-08,,,2.4574605045346587e-08,2.2456152703209363e-07,-2.1799655381038073e-06,5.3959600958507636e-06,3.7771466426595174e-06,6.864386829038031e-07
newton,1e-10,-1.5415224652315374e-09,-7.380911195705288e-11,1.1314841935616826e-07,3.3077381959892945e-07,2.9236842336022306e-07,2.931060527875051e-07,7.190574802251604e-08,1.4290539052629003e-08,,,3.021427449900749e-08,2.7609654792595573e-07,-2.395469456607301e-06,6.458703648997927e-06,5.231497282417244e-06,6.902670333701068e-07
newton,1e-12,-1.4934009584521846e-09,-7.150502248607275e-11,1.694368423343917e-08,4.95325271343908e-08,3.3563236523370676e-08,3.364791472031797e-08,5.038706429871809e-08,1.0013918635304171e-08,,,1.0174362380377389e-08,9.297282086525636e-08,-2.320690397400696e-06,9.671742284044239e-07,6.005641055320254e-07,4.836960931525814e-07
newton,1e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
danby,0.0001,-1.1628493723492284e-09,-5.567799461213437e-11,-3.6147549231646536e-08,-1.0567234786262518e-07,1.9688630725767098e-08,1.9738297730189957e-08,2.2661252430111745e-08,4.503694331332404e-09,,,4.3939141769477885e-09,4.015136506456338e-08,-1.8070253382127345e-06,-2.063363407577645e-06,3.5229870911695924e-07,2.1753915253737766e-07
danby,1e-06,8.640199666842818e-12,4.136984565132176e-13,9.276771989474852e-08,2.711935656915325e-07,6.327978008258128e-08,6.343941114890658e-08,1.0767255975707712e-07,2.139883038298632e-08,,,2.962156261943072e-08,2.7068033799006986e-07,1.3426553856807919e-08,5.295338763040059e-06,1.132297372367416e-06,1.0336144250333128e-06
danby,1e-08,-1.4263221714827523e-09,-6.829324594168895e-11,-4.0480760632455315e-08,-1.1833989053817882e-07,-2.557283551585243e-07,-2.563734615411681e-07,5.509476519449663e-08,1.0949526397880595e-08,,,1.5338529613107e-09,1.4016270624504582e-08,-2.2164524190411605e-06,-2.3107104624064528e-06,-4.575877858740289e-06,5.288881789133094e-07
danby,1e-10,5.821121362714621e-11,2.787191286993861e-12,-7.058371809254282e-08,-2.063417125159527e-07,-3.737623222033193e-08,-3.747051838562465e-08,-7.943247926078811e-08,-1.578640049457876e-08,,,-4.683195983790078e-09,-4.279480755463259e-08,9.045809413807473e-08,-4.0290383215087766e-06,-6.68791981843908e-07,-7.625207069038181e-07
danby,1e-12,-1.0010658968440111e-09,-4.793169514145226e-11,2.6537751440791624e-09,7.757943654138783e-09,4.9384669242868995e-08,4.950924817473433e-08,-1.2891674394666097e-08,-2.562089675833266e-09,,,1.3615138419464934e-08,1.2441444485933e-07,-1.5556197421883435e-06,1.514819853800256e-07,8.83665068778057e-07,-1.2375502771757638e-07
danby,1e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
markley,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
markley,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
markley,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
markley,1e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
markley,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
markley,1e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
nwm9,0.0001,5.1603166184577276e-11,2.4707936188392976e-12,-2.3914885682874143e-08,-6.991186026681807e-08,9.068650352883623e-08,9.091529058856837e-08,-7.98954378211647e-08,-1.5878408750038916e-08,,,-1.0219677382128367e-08,-9.338688497601867e-08,8.018943041535157e-08,-1.3651022285971264e-06,1.6226998501082813e-06,-7.669649278573972e-07
nwm9,1e-06,1.138314331683432e-09,5.45032406906329e-11,-1.5097955885501335e-08,-4.413678560619811e-08,1.8244011568135932e-07,1.829003819395094e-07,-1.0497512636931106e-07,-2.086274273644891e-08,,,-1.0807278974511725e-08,-9.875635802959971e-08,1.768898783551914e-06,-8.618169243986111e-07,3.2644940189555725e-06,-1.0077201204263469e-06
nwm9,1e-08,1.3701395573662012e-10,6.560318533848975e-12,-1.2538792620864214e-07,-3.6655425798343833e-07,-1.2012759409429918e-07,-1.2043065615950265e-07,-1.1379492992347195e-07,-2.2615589328784805e-08,,,-2.123007200593996e-08,-1.939993033359735e-07,2.129146694250223e-07,-7.157355455358303e-06,-2.1495042960687548e-06,-1.0923867820168975e-06
nwm9,1e-10,1.9549517560335516e-10,9.360437897684684e-12,-2.023411904694683e-08,-5.915164814880681e-08,1.9324956801458626e-07,1.9373710473438608e-07,-9.102139841843382e-08,-1.8089580688237712e-08,,,-1.4403869680323922e-08,-1.3162181845370869e-07,3.0379234337112227e-07,-1.1549978273350896e-06,3.4579130614628457e-06,-8.737697943120906e-07
nwm9,1e-12,9.402221223808738e-10,4.501845510720835e-11,-1.8004873236776575e-07,-5.263475638324759e-07,-1.1941934352499572e-07,-1.1972061879107256e-07,-1.7859551171284238e-07,-3.5494048386673375e-08,,,-4.556712702996624e-08,-4.163900572905225e-07,1.4610707449220225e-06,-1.027748696232888e-05,-2.136831207484163e-06,-1.7144470008800595e-06
nwm9,1e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
nwm11,0.0001,-6.936318186490098e-11,-3.321154878789621e-12,-6.829192289448116e-08,-1.996419613891987e-07,2.3230839474308596e-10,2.3289443540575134e-10,-7.35930765216608e-08,-1.4625878259580295e-08,,,-4.676034964790077e-08,-4.27293529470949e-07,-1.07787844366907e-07,-3.898218765277213e-06,4.1568125648226616e-09,-7.064647264538473e-07
nwm11,1e-06,-4.5208636834104254e-10,-2.1646193376401255e-11,1.461178655848272e-08,4.2715530684984704e-08,-3.957061789350291e-08,-3.967044205680116e-08,5.13599340834503e-08,1.0207266482513679e-08,,,3.585017838148019e-10,3.2759697838301958e-09,-7.025256598818522e-07,8.34065554787677e-07,-7.080572436455393e-07,4.930352622542258e-07
