solver,e,M,measured_order,claimed_order,n_usable,reason
newton,0.1,0.3,2.0,2.0,10,8 estimate(s) from 10 pre-floor terms
newton,0.3,0.3,2.0,2.0,10,8 estimate(s) from 10 pre-floor terms
newton,0.5,0.3,2.0,2.0,11,9 estimate(s) from 11 pre-floor terms
newton,0.7,0.3,2.0,2.0,11,9 estimate(s) from 11 pre-floor terms
newton,0.9,0.3,2.0,2.0,10,8 estimate(s) from 10 pre-floor terms
newton,0.95,0.3,2.0,2.0,10,8 estimate(s) from 10 pre-floor terms
newton,0.99,0.3,2.12880923594903,2.0,5,3 estimate(s) from 5 pre-floor terms
newton,0.995,0.3,,2.0,1,only 1 term(s) before the precision floor; at least 3 are needed for one estimate. For a high-order method this is expected in double precision - re-run the verification step at higher working precision.
newton,0.999,0.3,1.7859004504885843,2.0,6,4 estimate(s) from 6 pre-floor terms
danby,0.1,0.3,4.0,4.0,5,3 estimate(s) from 5 pre-floor terms
danby,0.3,0.3,4.0,4.0,6,4 estimate(s) from 6 pre-floor terms
danby,0.5,0.3,4.0,4.0,6,4 estimate(s) from 6 pre-floor terms
danby,0.7,0.3,4.0,4.0,6,4 estimate(s) from 6 pre-floor terms
danby,0.9,0.3,4.0,4.0,7,5 estimate(s) from 7 pre-floor terms
danby,0.95,0.3,4.0,4.0,7,5 estimate(s) from 7 pre-floor terms
danby,0.99,0.3,4.0,4.0,7,5 estimate(s) from 7 pre-floor terms
danby,0.995,0.3,4.0,4.0,7,5 estimate(s) from 7 pre-floor terms
danby,0.999,0.3,4.0,4.0,7,5 estimate(s) from 7 pre-floor terms
nwm9,0.1,0.3,8.891003990017989,8.8989,4,2 estimate(s) from 4 pre-floor terms
nwm9,0.3,0.3,8.897123005800593,8.8989,4,2 estimate(s) from 4 pre-floor terms
nwm9,0.5,0.3,8.909735906111676,8.8989,4,2 estimate(s) from 4 pre-floor terms
nwm9,0.7,0.3,8.896222624294213,8.8989,5,3 estimate(s) from 5 pre-floor terms
nwm9,0.9,0.3,2.8202388722859344,8.8989,4,2 estimate(s) from 4 pre-floor terms
nwm9,0.95,0.3,8.898716433808719,8.8989,7,5 estimate(s) from 7 pre-floor terms
nwm9,0.99,0.3,4.479441687718395,8.8989,6,4 estimate(s) from 6 pre-floor terms
nwm9,0.995,0.3,0.7207848758590853,8.8989,4,2 estimate(s) from 4 pre-floor terms
nwm9,0.999,0.3,0.36483674640893643,8.8989,4,2 estimate(s) from 4 pre-floor terms
nwm11,0.1,0.3,11.233052315127914,10.7446,3,1 estimate(s) from 3 pre-floor terms
nwm11,0.3,0.3,10.71564416609673,10.7446,4,2 estimate(s) from 4 pre-floor terms
nwm11,0.5,0.3,10.7276023747921,10.7446,4,2 estimate(s) from 4 pre-floor terms
nwm11,0.7,0.3,10.755615472353567,10.7446,4,2 estimate(s) from 4 pre-floor terms
nwm11,0.9,0.3,10.876228876528923,10.7446,4,2 estimate(s) from 4 pre-floor terms
nwm11,0.95,0.3,10.838613336389944,10.7446,4,2 estimate(s) from 4 pre-floor terms
nwm11,0.99,0.3,10.733176277568782,10.7446,5,3 estimate(s) from 5 pre-floor terms
nwm11,0.995,0.3,10.73896829696841,10.7446,5,3 estimate(s) from 5 pre-floor terms
nwm11,0.999,0.3,10.744417453283335,10.7446,5,3 estimate(s) from 5 pre-floor terms
