solver,function,measured_order,claimed_order,abs_diff,passed,n_usable,iterations,reason
newton,phi1,2.0,2.0,0.0,True,9,8,7 estimate(s) from 9 pre-floor terms
newton,phi2,2.0,2.0,0.0,True,9,8,7 estimate(s) from 9 pre-floor terms
newton,phi3,2.0,2.0,0.0,True,9,8,7 estimate(s) from 9 pre-floor terms
newton,phi4,2.0,2.0,0.0,True,9,8,7 estimate(s) from 9 pre-floor terms
newton,phi5,2.0,2.0,0.0,True,9,8,7 estimate(s) from 9 pre-floor terms
newton,phi6,2.0,2.0,0.0,True,9,8,7 estimate(s) from 9 pre-floor terms
newton,phi7,2.0,2.0,0.0,True,9,8,7 estimate(s) from 9 pre-floor terms
newton,phi8,2.0,2.0,0.0,True,9,8,7 estimate(s) from 9 pre-floor terms
danby,phi1,4.0,4.0,0.0,True,6,6,4 estimate(s) from 6 pre-floor terms
danby,phi2,4.0,4.0,0.0,True,6,6,4 estimate(s) from 6 pre-floor terms
danby,phi3,4.0,4.0,0.0,True,6,8,4 estimate(s) from 6 pre-floor terms
danby,phi4,4.0,4.0,0.0,True,6,8,4 estimate(s) from 6 pre-floor terms
danby,phi5,4.0,4.0,0.0,True,6,6,4 estimate(s) from 6 pre-floor terms
danby,phi6,4.0,4.0,0.0,True,6,8,4 estimate(s) from 6 pre-floor terms
danby,phi7,4.0,4.0,0.0,True,6,8,4 estimate(s) from 6 pre-floor terms
danby,phi8,4.0,4.0,0.0,True,6,8,4 estimate(s) from 6 pre-floor terms
nwm9,phi1,8.962840691445654,8.8989,0.06394069144565506,True,4,4,2 estimate(s) from 4 pre-floor terms
nwm9,phi2,8.892419694754578,8.8989,0.006480305245421647,True,4,4,2 estimate(s) from 4 pre-floor terms
nwm9,phi3,8.981609761614635,8.8989,0.08270976161463572,True,4,4,2 estimate(s) from 4 pre-floor terms
nwm9,phi4,8.896331963287752,8.8989,0.00256803671224759,True,4,8,2 estimate(s) from 4 pre-floor terms
nwm9,phi5,8.888089889229862,8.8989,0.010810110770137271,True,4,4,2 estimate(s) from 4 pre-floor terms
nwm9,phi6,8.897946173229181,8.8989,0.0009538267708180115,True,5,5,3 estimate(s) from 5 pre-floor terms
nwm9,phi7,8.874605700490353,8.8989,0.024294299509646677,True,4,4,2 estimate(s) from 4 pre-floor terms
nwm9,phi8,8.897555910535203,8.8989,0.0013440894647960278,True,4,5,2 estimate(s) from 4 pre-floor terms
nwm11,phi1,10.765195573466086,10.7446,0.020595573466085426,True,4,4,2 estimate(s) from 4 pre-floor terms
nwm11,phi2,10.7164100171087,10.7446,0.028189982891300147,True,4,4,2 estimate(s) from 4 pre-floor terms
nwm11,phi3,10.815784252018073,10.7446,0.07118425201807277,True,4,8,2 estimate(s) from 4 pre-floor terms
nwm11,phi4,10.75098478188881,10.7446,0.006384781888810309,True,4,8,2 estimate(s) from 4 pre-floor terms
nwm11,phi5,10.714672187000287,10.7446,0.0299278129997127,True,4,4,2 estimate(s) from 4 pre-floor terms
nwm11,phi6,10.833590158010107,10.7446,0.08899015801010712,True,4,8,2 estimate(s) from 4 pre-floor terms
nwm11,phi7,10.74922656342757,10.7446,0.004626563427569508,True,4,8,2 estimate(s) from 4 pre-floor terms
nwm11,phi8,10.738374516012382,10.7446,0.006225483987618574,True,4,8,2 estimate(s) from 4 pre-floor terms
